,userAddress,vaultTokens,usdc_send
438,3KNZ9i1dLNNqpBTKEkTgUQs6TNCd3bzuy6HwfoXACaRs,524725.0747265904,2430.4502341776442
431,GUTxaEAhD2N4jWfWspBXaF8wFnUPxQhUDuEVab8T24tm,403359.5702318002,1868.302867817942
499,GrRG2dYEnLPJZBCxBrAZTsdrKWTCGDHXTJ2Wd6B1Lzjv,292424.38896024274,1354.4672417227266
404,5SdHHn4Cz5Nb7EVK1jE1fMoBwDnAncCG7FZiHKTrhANu,99199.01253750177,459.4753993366663
12,HWstmhmp4DDdZCyU9QgQN2j8PpP5DGwmt23kEsuusuuK,85477.81383166937,395.9208024362518
302,AG25ARitey2E2kUoBHSRnUSWLNPErPsvMyGqQCVfQHFG,58047.34124946442,268.86684271122584
265,3g2X8fLNjBQ7CXNBTfjE4WcW5wQ3ee1YEDdyGgKybJbm,39362.89473296828,182.32320376818586
521,7wHuTjBrche1b1dtbjPryoAkfsxtuZazGeDbiMSrsHPc,29387.118721300383,136.11686008183696
123,8hEeWszgrA2XkRK4GH6zL4Qq5wJBwotwsB6VEweD8YEQ,28784.89612197451,133.32745258435594
127,3xF5EvLaDGUmGNFbYWZ6Bc8u835EanupDdLPuQu6cABW,27258.794668405262,126.25877259581362
100,Cs2xitsDqkb8BPgfDtYd43jSwmFR5voQ2UqAPb9JF73j,26983.459774671206,124.9834614106146
295,ZScUtSLBGyKUN2zcaFV4dsM97aFVpLSfrtTj5etgmJr,26709.30277386628,123.71360605415965
388,7sGayKe7zWQ72PGRLWfQH1AtMUGkoTiG8swKZCYMmUn8,25282.208145917542,117.1035112831047
26,C35WVe5uAj5UMSi2HEG1V5RqPkvwJ4uudxM4hixr5KdS,25123.906026539844,116.37027888838291
457,517cQpvm7aqKJ3ZhPocppto3QnqKHRH5jDhiSMHnqUDN,20345.56900026645,94.2377167070594
364,WVBQZAsiZqPVWFmLmkCidpbrQvU1Y4tSpsBeBEp1hQG,18953.03416053975,87.78769784894065
511,DusP9KWaxZFi61g2G7xctrh9qW2NF4v2S4DD5HLcnDcQ,14601.72448874812,67.63306427002146
417,BGAib8A6Dv1W4H3CqUPDVc8w1Ru6GszcZo7VSywBcEX9,14520.4333873287,67.25653571059568
62,6igXx1W5d8WpgUsNCbqiZgzBqG5dLBgqhBC5VKcU3T1e,14389.401564428274,66.64961536317566
433,Hio6PkKbgnKs7fiamvbe118WuoCcYL7vgb4oUF9NoKy5,14212.738169232556,65.83133620918673
94,A9c5icbj9GuTLhrg93nRwkENqPZNcSBBfvPxXcqB9X7Z,12666.433237027086,58.669076645839084
277,Cgfd6Y9rvA2ApgsPPypKsoBw3LyHGNSb19iGTPJgx2Z2,12413.269811151828,57.49646047531524
479,7VD6TVNCwj7BsfG4mcy3xVSCBNRVhBBQn4NtxC9mKp7z,12223.082246812874,56.61553933670539
539,Bgx5BQnrxxSYkFamwXaJEkvho5gKHH881kLKR7uxqoBW,11699.712828098915,54.19136830402213
63,2RbKZjkqrEUFPTxCc4DDg7ZaWW8QxftKuuQ9W44YvGcK,10564.230584972587,48.93197968961504
250,HbnLEHWr1JjVKH82RPYriMLMQXfR6EM22ynndJZ2LMY1,10520.836201401844,48.73098321585883
75,EijiDR9zwARB4RJhGK2mcoQxibNfh7kCrLwj9WNKpJ2J,10233.077017082229,47.39812452356021
405,7N6piuSaRdjTLfmp3EhHJdSyy8FaVZ4XxfSq34uH6Hv6,9897.853368968164,45.84541733783017
346,FQnJRA6XCLRpcexUyy5kpxtE1mRcbKZCjQvAo388Xbqc,9795.706240433463,45.37228669394566
239,fJgXL6DtWQwbv74997HkNY56JnUH7Kf2R3VSoY1Qe69,9759.347874682626,45.20388003146725
33,G4oZr6bBCW3TNGXemv6osfVZs7jQPeNPH17crmBUEyLL,9705.720768075093,44.95548707277271
