txSignature,amount,instructionAction,instruction.action.type,instructionOrder,userAddress,timestamp,currencyName,currencyAddress,currencySymbol,currencyDecimals,senderAddress,senderTokenMint,receiverAddress,receiver.mintAccount,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId
4oB73FmN5i1tLAQUKu4cYZwQadnbHComwmUtaBQgLMUagHpLAdpDPi6TS314GAGz9ThTfZxD3CgzA5tkR78uqssG,109289.616691,mintTo,mintTo,0-0,EGFGyMUci9HvLg8WJKZQkRkec3g19mc3rS6roGjbnTQk,2022-01-29T15:08:10Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,EGFGyMUci9HvLg8WJKZQkRkec3g19mc3rS6roGjbnTQk,HKDE26CaQs5VYT4ogd4M9YfisaH6sdPXVUHiHZPUdkRk,,,,,
4qjU52LGufJz17QKY2L66y8aNdDLsEb8omoCNRtGLkfBUUZ3RgvGLb99SkJEQi9KzDBX9uXDRmuvyZfxjaHMqxZF,120000.0257,mintTo,mintTo,0-0,6jUZzXutPPtiVPLvZjnb3C96RhrY1KF4Q66DXEhqhCCJ,2022-01-21T11:38:40Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,6jUZzXutPPtiVPLvZjnb3C96RhrY1KF4Q66DXEhqhCCJ,3CmYLRG99pRsfptDg66Wf6KXUte6arzuV9xrHVVPnkFh,,,,,
4qnZfSKHJQnvrWsvmLQ9g1Nt7JhJinKAErxjHMQrsDDXK5hj3Gc9baM9LTXJtKmihHXVD3cyC4qX2m4DNkiG4gFP,19720.009461,mintTo,mintTo,0-0,Ekqb1VcCdyS9wjPEZgxGWgyQLzPEBkBEMN54sjJHwsrR,2022-02-15T08:55:39Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,Ekqb1VcCdyS9wjPEZgxGWgyQLzPEBkBEMN54sjJHwsrR,48Q3bKSwft44ZcuDV1PrAb3ADJ5LJUHQqqb3rPsaWiXa,,,,,
4uBjrxcfXT18BAuadPqc8g1rvrS3bN494v9cD7taaBcu5Z478NJp5vRSpdX7FuaFaFX5NoCKko5h7wH6VmZJ4wDk,1e-06,mintTo,mintTo,0-0,BNx9GNMkNfeicgYBC2Ukh5qppCoCvFyonvFsH532bMQu,2022-01-24T03:25:49Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,BNx9GNMkNfeicgYBC2Ukh5qppCoCvFyonvFsH532bMQu,6wPaf8npb1Z1qPfzqj6QYuMuNHsQk5wdg5LxewvPZM43,,,,,
4uMkfSESEszDBjihBZncG2SB63a3v9yNrefLgJveYtciuwG5exGaDF6b2JHsrEoKuPdC9WxUcG21udjsWZfM2HPe,4379.502447,mintTo,mintTo,0-0,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,2022-01-29T18:26:51Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,nFNJW6XPoKCnKFmMsUs286J9N5g2vC8L3gbQuX92rDA,,,,,
54VvAo2XfotzYzwAHBWx8HXmJV4zd9DkGAZ37PHaaZWLZa13D4m3zKv8s78KtF6uC1CS4SdsYH2mkC3khp7RE1zJ,790.642775,mintTo,mintTo,0-0,C7EbRUFUP7JJ7cDWTqQrhziuZwSV3r94BqSh6q818PwY,2022-01-21T23:37:35Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,C7EbRUFUP7JJ7cDWTqQrhziuZwSV3r94BqSh6q818PwY,2Bue2FE2kFum3T2BsVNw1NRWvwHZUdUcKm31UeMznjAW,,,,,
58Efkd3v4Q7kmQVCbY1RNhhiWo6Rek2beGFbUntaU7yJDjio4R4Wd3xfrYPnJzDKonFdhiWoiE7KKH2TLE4ckkeD,126.775146,mintTo,mintTo,0-0,2e2NyZLesYjgZuqyqF9oULEde7CHwR4sanPyzbcp16AS,2022-01-29T20:53:53Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,2e2NyZLesYjgZuqyqF9oULEde7CHwR4sanPyzbcp16AS,5aRht7miAMryDWKJYig7BGCbGD6wD5fJmiGrJzR3pxnD,,,,,
5FrJK5FLZT8sbwyisUhKQqewab4q61Vf4mWxgzDwCFbmzMu6t4EGwAspFD8nkeURRgSvP6bmBCuZGZvNjxGkA5hm,25802.643592,mintTo,mintTo,0-0,6NXS9vRzx7auDNsTqtYtY3EbDpwUnJb25YZAGX6bgWQQ,2022-02-25T00:39:20Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,6NXS9vRzx7auDNsTqtYtY3EbDpwUnJb25YZAGX6bgWQQ,ApVqN4EXycvzeyPD7XjeXzji4S73hcSGXH5wB5RKJeSs,,,,,
5JXc4mJYXxeHa1AnWtPETwXeCF2DyehZJ4FDbaCpNC7Aid8ApgJGiP5DvXHLATWyovs9QRUjhoVT4iU6VKLy3KUj,2126.88091,mintTo,mintTo,0-0,JC3MbCwrT86ZW1ZkLrYxEKTZkkkXqnng674yyP33ibFT,2022-02-18T10:29:31Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,JC3MbCwrT86ZW1ZkLrYxEKTZkkkXqnng674yyP33ibFT,CJTDBtoEyaG2B3uadFykbPEUizH6jDYYKTgDmSYbfyBw,,,,,
5JYt587awThpv5UDjxPcxHwcjTLP2tTWMnbfif7rYZermMw7YkCQyQBVKYetdYycHQcQGBUxKZzb5xc1RCHZcXod,98.830347,mintTo,mintTo,0-0,DwBUTtspHbqaANAWUsTNXeV1eCGa6S2TNt75BEZwny2w,2022-01-24T20:01:36Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,DwBUTtspHbqaANAWUsTNXeV1eCGa6S2TNt75BEZwny2w,UQfBRm3TEE4bHCk5fEVvQZQVR9gunQUxEfesBULVk1z,,,,,
5MBLmiEwbjKakZyUsux1A2YF7nDZgS6gcYdnXzFdfiBfL6bL1mKFoS61mnWXxKuxtiWHoXC43Pz4qCxZ4xW6RrfJ,119.307211,mintTo,mintTo,0-0,CnKzimngmVSYjE4PJK8UDoT379bFUbKcRNrTM5gjpi8y,2022-02-05T13:06:21Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,CnKzimngmVSYjE4PJK8UDoT379bFUbKcRNrTM5gjpi8y,J9Lz94pX1687nspAFFAby6L7x2i16Z9okTP9sit58PFa,,,,,
5MwyhoNJ282thPY5jr6EdYnzLnSkiLQKvk8Sp7W8eked7sgGb6hSddiSTZya1MWcGYYom95uq57ZqCXLUV4RDTjM,105.748471,mintTo,mintTo,0-0,DwBUTtspHbqaANAWUsTNXeV1eCGa6S2TNt75BEZwny2w,2022-02-04T01:12:51Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,DwBUTtspHbqaANAWUsTNXeV1eCGa6S2TNt75BEZwny2w,UQfBRm3TEE4bHCk5fEVvQZQVR9gunQUxEfesBULVk1z,,,,,
5UQpwQVSjXLG948FQLMCKb3dRT82PyfV4WqBVyFFJonFXqwwkaLM13rmjcCXMLEbsTGmhxQ5xWCKWDEq97ntvUEt,317.690284,mintTo,mintTo,0-0,ARs75HzCCyx9jSXxqBTTe8CivC474obub98fd9C9HAxs,2022-03-01T03:07:27Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,ARs75HzCCyx9jSXxqBTTe8CivC474obub98fd9C9HAxs,APJtsJ83Kcoz7NetD1JseGU4dLNpiU6Zitnf5ttJa6jG,,,,,
5YYsmtc4AGKRbKgKCxMbhe4uS6E1jGAEmidSxroMx6a6nn9XBVRMoeEK5VdQ5yeYDYjnJNt2vsbU3dpAYbuwDCD5,237.692138,mintTo,mintTo,0-0,5jWhR3f6U8mHmFxJiFoCuhVU6nQyhDK1qR9GjYgHJ6cH,2022-03-30T02:45:23Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,5jWhR3f6U8mHmFxJiFoCuhVU6nQyhDK1qR9GjYgHJ6cH,2vK3VXtFNtdKhvZAV5rbXVM4yxXELnQVREuN1iDB9yRo,,,,,
5b6ALmpwK8pRpHHP4sKYT3dRreEHmdXKcJPq9FwBpNdYkVdbjvH9tiDpPnJGkrAioAwqzDrPjXzyHox1vnd1HViA,120.46431,mintTo,mintTo,0-0,4DZEi1TnafcET99M8A8D5zESkfw7FRWnZLGUAJXcY2Lp,2022-01-21T09:24:29Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,4DZEi1TnafcET99M8A8D5zESkfw7FRWnZLGUAJXcY2Lp,5K5jqsMXucP1mTrqmsWkwfUYTK1ht6oAN4z4Lwot2gDr,,,,,
5dWm5htd2dbfG2JTLdx8oFn4euDfrs6Wxp6o4bZSt9ZNMha8MAjaXqJrmyrRsLgnXQQwdBuvU9kKvohcoMUBXe3m,111.601457,mintTo,mintTo,0-0,FZcriUmbGB9okpBWMLhU4t6c9KYmQZSavEpy4wCopu8U,2022-01-21T11:01:26Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,FZcriUmbGB9okpBWMLhU4t6c9KYmQZSavEpy4wCopu8U,5S1TKgQNZXNtvEJBgMM32DWPp9oUnLCEx8nhBfcjeTRX,,,,,
5hQN5SLX75zD42gfrm336XFijCcpZiU6c7VRK54A8mW9KAAgtKZNX32QZagkTZdt4Shp4GQkNCKrnJpbdkPPEha7,178.967508,mintTo,mintTo,0-0,99BK7JTsvGcnpuLL8zCWB3YYLTb2tNXftZmTfL7U5Aja,2022-03-09T04:01:48Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,99BK7JTsvGcnpuLL8zCWB3YYLTb2tNXftZmTfL7U5Aja,AnEfdzq8fgSsv2WXHMwsK6AUrP1r7k3BDrZhyVcujrSs,,,,,
5jbs7vjnSoonrFnTRXmDNdarTvmiqqQwYYvfXtCKioXJCFWBXWS1gAVFNHyajizdQi8fVkzQ9iLmTcpSZcAAJEtF,78.9173,mintTo,mintTo,0-0,6pP8SGaW5wBE3nywy4e4gQrbJiGxqvWrZRX23qepRbpq,2022-02-23T21:10:00Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,6,,,6pP8SGaW5wBE3nywy4e4gQrbJiGxqvWrZRX23qepRbpq,6y2X8SGcHUE2D3rvFmTdMnYR9aUxdx8Tbp88AN5Ev8h8,,,,,
