,transaction.signature,amount,instruction.action.name,instruction.action.type,instruction.callPath,transaction.signer,block.timestamp.iso8601,currency.name,currency.address,currency.symbol,currency.decimals,sender.address,sender.mintAccount,sender.type,receiver.address,receiver.mintAccount,receiver.type
20,41kyythmgxbzfsunTAHAQZzmkxQyBJ9CotR3P5gDC7DCspC9STewLrZJtWjJS3uE9NxkvqWE6mvtFULyqLyScHqe,175.823783,transfer,transfer,1-0,AQfV6JkvnoLZ5hBWc99bq6ZV7nr6bdbMHLLCWGty5dmc,2022-03-20T15:09:34Z,UST (Wormhole),9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,UST,6,AQfV6JkvnoLZ5hBWc99bq6ZV7nr6bdbMHLLCWGty5dmc,Gfz1HrtzWNeTb5cnnQwkCSDhDJhjYoAayjKAmQfsBU8u,account,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,69Znv2Lj1XbaSWx5B8grnF7UKG1vG14B3XtKPGA6GrXP,account
21,45tSwwAiHHFQ5wEaETBhxbCTAGrprnzEpM2Mcy4ihnwJpcjPse1mjxaYVTjugLiXYk2kcZp4gu3SPNF2nyka7v6J,2.6,transfer,transfer,3-1,HXvZqrZTyxfV3V9bfjVmVNk2w8sg857XpC36kdGUNP7M,2022-03-20T17:50:38Z,Solana,-,SOL,9,G8Y6Rt5D54kMMnCih6aYx9CKG927CUFkRjP4FdU6UTfv,G8Y6Rt5D54kMMnCih6aYx9CKG927CUFkRjP4FdU6UTfv,account,FnCg7sLfe8gz4UyrmN9c3VX6Axohu1Pa8wy3bsSPZwfq,FnCg7sLfe8gz4UyrmN9c3VX6Axohu1Pa8wy3bsSPZwfq,account
22,498DALm665TiqNFvP7HLQ3EMTw7bNrFn3DH5qWjhD2rEBje1kFfzqtqJU1qSTZSq9BkepC83Wk29QFQ4YZ4egVQL,10.0,transfer,transfer,3-1,CtTu7Sm23a5AoNw4Wy56xcpizxUQKh7nBfr2GmU6CiG2,2022-03-20T10:35:56Z,Solana,-,SOL,9,63Z9fAyAaTKPriWoMq3rzAi4cp6Rp1EVoAUXNLqhpvF,63Z9fAyAaTKPriWoMq3rzAi4cp6Rp1EVoAUXNLqhpvF,account,FnCg7sLfe8gz4UyrmN9c3VX6Axohu1Pa8wy3bsSPZwfq,FnCg7sLfe8gz4UyrmN9c3VX6Axohu1Pa8wy3bsSPZwfq,account
23,4GKLUJNN7tfnY26SUNoiTz5bKv9X1EJHQ28cHSgafn59GG8y7W5oMDvYob6A1WSfNxYigLrnkaSUjwoEVEJRhXrT,0.05,transfer,transfer,3-1,3AaqjUGvjrwoVqxf5uBFDYyw7L83rALnb7PyYNeeK94U,2022-03-20T15:25:10Z,Solana,-,SOL,9,AFmAT6Gf5JxaAy4fV8RyDtdCBA8tP99fMP8uaE94hngN,AFmAT6Gf5JxaAy4fV8RyDtdCBA8tP99fMP8uaE94hngN,account,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,account
24,4KRJFsEmszZbmz4TatTSeZYJmxkf3cdQM47XjbhivUCiDiaNoC3JqMbXQYRgJ9B7kccAJnjL6DFpgvQe6AXFPi2x,3.261134,transfer,transfer,1-0,HK7aLFrSXgUhaTPCJpEBDS6kgfwG9kJUBUqThFhX5PMG,2022-03-20T10:23:26Z,Raydium,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,6,HK7aLFrSXgUhaTPCJpEBDS6kgfwG9kJUBUqThFhX5PMG,FhCyVYRohv4aFbe9B33dp3CHYTox1Q3z5JZkcYXp8F9P,account,A6XsYxGj9wpqUZG81XwgQJ2zJ3efCbuWSQfnkHqUSmdM,8iDJoR9FPcsfit9AmtHfH9doJ9ao6WbjKfaNEnbUCyAQ,account
25,4TWPzoKMDmcL6fp297iPaH8993QsYnMgLgjpcjFdKj79JecnKwQrJJQHX8m7M7qqXNFaCnmgpkWtPN8F7TcTbWWH,3.6,transfer,transfer,3-1,8ysDtK69BRmBm8s2cCb5KGgBLhRPLk5woixpXjPfeXPx,2022-03-20T12:43:37Z,Solana,-,SOL,9,AFgdMvmbp2ZpD7qw3BeUeJbRbpYkEognKZYvqjAXiAHa,AFgdMvmbp2ZpD7qw3BeUeJbRbpYkEognKZYvqjAXiAHa,account,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,account
26,4aG4bmhFQGq9EQWRYZ5BAMw1hkChZWy972LM5YdUXVSp8kLKSvh3L3f9v5U7bGJndYjJtYS1hMgxvoU5VQu7hxBn,115.695537531,transfer,transfer,1-0,72xYkqSmFSZHegeVLpqeDTXvTvg4AZZ63vqao77UAPZN,2022-03-20T15:18:33Z,Marinade staked SOL (mSOL),mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,mSOL,9,72xYkqSmFSZHegeVLpqeDTXvTvg4AZZ63vqao77UAPZN,8Q5DQwBSi2nvzQi558AXjh6DPpemR4rBQF3AXK5SF3hy,account,6asST5hurmxJ8uFvh7ZRWkrMfSEzjEAJ4DNR1is3G6eH,Bm8ju1pbvvCqnMs2aC9BKrdUSVEdBLTBvAuMG34BVhDY,account
27,4iEsB8idciHJ4YTaTYme8SBiqKqvuQhLK2aAnR8HFhowv5jei9zyTHc2RXefi972UnwKhZZTL2dbGjJtnsAfLp7K,8971.76864,transfer,transfer,1-1,HXg2xDzpV3Tzk9x2dK62wXxw4EDAt4DLz3SCpZVd2xiF,2022-03-20T16:06:14Z,UST (Wormhole),9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,UST,6,HXg2xDzpV3Tzk9x2dK62wXxw4EDAt4DLz3SCpZVd2xiF,G1Zn54fPuafQsk9g5kXdYgWqcmQ94nUPMbiahWGeh5gv,account,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,69Znv2Lj1XbaSWx5B8grnF7UKG1vG14B3XtKPGA6GrXP,account
28,4r1E8M1u5AQhcWwMiYvDoBtED6EAQFLnw4XyjPYqSsAjmf15dmjz1o2f5KYfKGrH25ByuDp6uexSui6tDTA4TXQs,4.0,transfer,transfer,3-1,HXvZqrZTyxfV3V9bfjVmVNk2w8sg857XpC36kdGUNP7M,2022-03-20T17:47:41Z,Solana,-,SOL,9,AM9dehCQLKT4XVY8ScGH1m4aXnAFocJw8CSccrcyH1A2,AM9dehCQLKT4XVY8ScGH1m4aXnAFocJw8CSccrcyH1A2,account,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,account
29,5AYDuPQoreCjychrHTozncqnevzY3hrzgEfU4AhV64kzm3aTqgdaokMv3AdBtWa4QNWVUyaefgMfaUqVv5FLAUQm,0.023962,transfer,transfer,1-1,H2JvYYfVTobmnznmViEBLLo4pjjoSSgxYyTyW8wEH15j,2022-03-20T10:21:33Z,Wrapped Bitcoin (Sollet),9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,BTC,6,H2JvYYfVTobmnznmViEBLLo4pjjoSSgxYyTyW8wEH15j,5US1jcX35FV7rXY6wfDomfyas6U8LToyxq3ceHTfgGJ,account,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3LWwNVeYGRspS6JTmcEWVoD3yVmVps9ELceq77pTv3jj,account
